ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
1,GA0024434,,เขื่อนท่าทุ่งนา,,ช่องสะเดา,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข
2,GA0024433,,เขื่อนศรีนครินทร์,,ท่ากระดาน,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข
3,HA0012113,,โรงพยาบาลทั่วไปขนาดเล็กคริสเตียนแม่น้ำแควน้อย,,หนองลู,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,โรงพยาบาลเอกชน
4,CA0041906,,ท่าม่วงคลินิกเวชกรรม,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
5,CA0041905,,คลินิกเฉพาะทางด้านเวชกรรมแพทย์ธเนศ,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
6,HA0012110,,โรงพยาบาลทั่วไปขนาดใหญ่ สินแพทย์ กาญจนบุรี,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,โรงพยาบาลเอกชน
7,GA0042308,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาตองพัฒนา,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
8,CA0042325,,เบญญาภาคลินิกเฉพาะทางด้านเวชกรรมสูติ-นรีเวช,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
9,CA0042407,,คลินิกใกล้หมอ,,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
10,CA0042451,,ศูนย์อภิบาลริเวอร์แควสหคลินิก,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
