
ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
1,00010,,สำนักงานสาธารณสุขจังหวัดชลบุรี,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริหารด้านสาธารณสุข,,,รัฐในสธ.(สังกัด สป.),สำนักงานสาธารณสุขจังหวัด (สสจ.),
26,01817,,โรงพยาบาลส่งเสริมสุขภาพตำบลเสม็ด,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
127,10662,,โรงพยาบาลชลบุรี,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),
128,10817,,โรงพยาบาลชุมชนบ้านบึง,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),
129,10818,,โรงพยาบาลชุมชนหนองใหญ่,,หนองใหญ่,หนองใหญ่,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),
130,10819,,โรงพยาบาลพัทยาปัทมคุณ,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลทั่วไป (รพท.),
131,10820,,โรงพยาบาลชุมชนวัดญาณสังวราราม,,ห้วยใหญ่,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),
132,10821,,โรงพยาบาลชุมชนพานทอง,,พานทอง,พานทอง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),
133,10822,,โรงพยาบาลทั่วไปพนัสนิคม,,กุฎโง้ง,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลทั่วไป (รพท.),
134,10823,,โรงพยาบาลแหลมฉบัง,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),
136,10825,,โรงพยาบาลชุมชนสัตหีบกม.10,,พลูตาหลวง,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),
137,10826,,โรงพยาบาลชุมชนบ่อทอง,,บ่อทอง,บ่อทอง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),
138,11486,,โรงพยาบาลค่ายนวมินทราชินี,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม,
139,11487,,โรงพยาบาลอาภากรเกียรติวงศ์,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม,
141,11814,,ศูนย์บริการสาธารณสุขเทศบาลตำบลหัวกุญแจ,,คลองกิ่ว,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
142,11840,,ศูนย์บริการสาธารณสุขเทศบาลเมืองบ้านบึง,,คลองกิ่ว,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
